scenario_id,method,dgp_effect,dgp_direction,true_effect,true_direction,baseline,baseline_effect,baseline_direction,baseline_source,baseline_available,canonical_status,L1,L2a,L2b,estimated,rel_error,L2b_plus,err_excerpt,model,model_slug
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.238664,0.0,1,,Kimi,moonshot-v1-128k
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in waldtest(pretrend_model, ""treated:period_2 = treated:period_3 = 0"") : 
  could not find function ""waldtest""
Calls: suppressMessages -> withCallingHandlers
Execution halted",Sonnet,claude-sonnet-4-20250514
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,,,0,,GPT-4o,gpt-4o
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.2387,0.0002,1,,o3,o3
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.2387,0.0002,1,,Opus,claude-opus-4-6
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in tidy(event_study_model) : could not find function ""tidy""
Calls: suppressMessages -> withCallingHandlers -> as.data.frame
Execution halted",Gemini,gemini-2.5-flash
s01,DID,-0.3,negative,-0.238664,negative,canonical,-0.238664,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in linearHypothesis.lm(mod_es, lead_params, vcov. = vc_es, test = ""Chisq"") : 
  there are aliased coefficients in the model.
Calls: suppressMessages ... withCallingHandlers -> <Anonymous> -> lin",GPT-5,gpt-5
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.244583,2.3041,0,,Kimi,moonshot-v1-128k
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.1876,0.0002,1,,Sonnet,claude-sonnet-4-20250514
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.514671,3.7441,0,,GPT-4o,gpt-4o
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.164,0.1256,1,,o3,o3
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.1876,0.0002,1,,Opus,claude-opus-4-6
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in feols(y ~ i(treated, period, ref = 3) | unit_id +...: 
Evaluation of the right-hand-side of the formula raises an error: 
  in i(factor_var = treated, var = period, ref = 3): 
In argument `r",Gemini,gemini-2.5-flash
s02,DID,-0.15,negative,-0.187556,negative,canonical,-0.187556,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in feols(y ~ treat_x_post | unit_id + period, data =...: 
The only variable, 'treat_x_post', is collinear with the fixed effects.
Without doubt, your model is misspecified.
Execution halted",GPT-5,gpt-5
