paper_id,method,orig_method,difficulty,gt_m_level,gt_d_level,needs_human,L3_scoreable,L4_scoreable,Kimi-128k_L3_method_agree,Kimi-128k_L4_direction_agree,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Kimi-128k_direction,Claude-Sonnet_L3_method_agree,Claude-Sonnet_L4_direction_agree,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,Claude-Sonnet_direction,GPT-4o_L3_method_agree,GPT-4o_L4_direction_agree,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,GPT-4o_direction,o3_L3_method_agree,o3_L4_direction_agree,o3_L3a,o3_L3b,o3_detected,o3_direction,Claude-Opus_L3_method_agree,Claude-Opus_L4_direction_agree,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Claude-Opus_direction,Gemini-2.5_L3_method_agree,Gemini-2.5_L4_direction_agree,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected,Gemini-2.5_direction,GPT-5_L3_method_agree,GPT-5_L4_direction_agree,GPT-5_L3a,GPT-5_L3b,GPT-5_detected,GPT-5_direction
paper_01,DID,DID,easy,all4_agree,3of4_agree,0,1,1,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,IV,negative
paper_02,DID,DID,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_03,DID,DID,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,positive
paper_04,EVENT_STUDY,EVENT_STUDY,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,0,0,0,0,DID,negative,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,positive
paper_05,EVENT_STUDY,EVENT_STUDY,medium,all4_agree,3of4_agree,0,1,1,0,1,0,1,DID,negative,1,0,1,0,EVENT_STUDY,positive,1,1,1,1,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,positive,1,1,1,1,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,negative
paper_06,OTHER,EVENT_STUDY,hard,2of4_plurality,split,1,0,0,0,0,0,0,DID,,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive
paper_07,DID,IV,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,0,0,0,0,IV,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,IV,positive,0,0,0,0,IV,negative,1,0,1,0,DID,negative
paper_08,OTHER,IV,hard,2of4_plurality,2of4_plurality,0,0,1,0,0,0,0,DID,positive,0,0,0,0,IV,positive,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,0,0,0,DID,positive,0,1,0,1,DID,negative
paper_09,RDD,RDD,easy,3of4_agree,2of4_plurality,0,1,1,0,1,0,1,DID,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,0,1,0,RDD,negative,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_10,DID,RDD,medium,2of4_plurality,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,negative,1,0,1,0,DID,positive,0,0,0,0,IV,positive
paper_11,UNSCORED,EVENT_STUDY,hard,2of4_tie,2of4_plurality,1,0,1,0,1,0,1,RDD,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,IV,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,DID,negative
