scenario_id,method,true_effect,true_direction,L1,L2a,L2b,estimated,rel_error,L2b_plus,err_excerpt,model,model_slug
s01,DID,-0.3,negative,1,1,1,-0.238664,0.2045,1,,Kimi,moonshot-v1-128k
s01,DID,-0.3,negative,1,1,0,,,0,"Error in waldtest(pretrend_model, ""treated:period_2 = treated:period_3 = 0"") : 
  could not find function ""waldtest""
Calls: suppressMessages -> withCallingHandlers
Execution halted",Sonnet,claude-sonnet-4-20250514
s01,DID,-0.3,negative,1,1,1,,,0,,GPT-4o,gpt-4o
s01,DID,-0.3,negative,1,1,1,-0.2387,0.2043,1,,o3,o3
s01,DID,-0.3,negative,1,1,1,-0.2387,0.2043,1,,Opus,claude-opus-4-6
s01,DID,-0.3,negative,1,1,0,,,0,"Error in tidy(event_study_model) : could not find function ""tidy""
Calls: suppressMessages -> withCallingHandlers -> as.data.frame
Execution halted",Gemini,gemini-2.5-flash
s02,DID,-0.15,negative,1,1,1,0.244583,2.6306,0,,Kimi,moonshot-v1-128k
s02,DID,-0.15,negative,1,1,1,-0.1876,0.2507,1,,Sonnet,claude-sonnet-4-20250514
s02,DID,-0.15,negative,1,1,1,0.514671,4.4311,0,,GPT-4o,gpt-4o
s02,DID,-0.15,negative,1,1,1,-0.164,0.0933,1,,o3,o3
s02,DID,-0.15,negative,1,1,1,-0.1876,0.2507,1,,Opus,claude-opus-4-6
s02,DID,-0.15,negative,1,1,0,,,0,"Error: in feols(y ~ i(treated, period, ref = 3) | unit_id +...: 
Evaluation of the right-hand-side of the formula raises an error: 
  in i(factor_var = treated, var = period, ref = 3): 
In argument `r",Gemini,gemini-2.5-flash
s03,DID,0.25,positive,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'event_time' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s03,DID,0.25,positive,1,1,0,,,0,"Error in summary(trend_test)$coefficients[""treated:period"", ] : 
  incorrect number of dimensions
Calls: suppressMessages -> withCallingHandlers -> print
Execution halted",Sonnet,claude-sonnet-4-20250514
s03,DID,0.25,positive,1,1,1,0.48904,0.9562,0,,GPT-4o,gpt-4o
s03,DID,0.25,positive,1,1,0,,,0,"Error in grepl(var2keep, vect2check, perl = TRUE) : 
  invalid regular expression 'rel_year::[-3:-1]'
Calls: suppressMessages ... etable -> etable_internal_df -> keep_apply -> grepl
Execution halted",o3,o3
s03,DID,0.25,positive,1,1,1,0.2845713,0.1383,1,,Opus,claude-opus-4-6
s03,DID,0.25,positive,1,1,1,0.2846,0.1384,1,,Gemini,gemini-2.5-flash
s04,DID,0.2,positive,1,1,1,0.524496,1.6225,0,,Kimi,moonshot-v1-128k
s04,DID,0.2,positive,1,1,1,0.1058,0.471,1,,Sonnet,claude-sonnet-4-20250514
s04,DID,0.2,positive,1,1,1,0.105831,0.4708,1,,GPT-4o,gpt-4o
s04,DID,0.2,positive,1,1,0,,,0,"Error: in feols(y ~ sunab(first_treat_period, period) | uni...: 
All variables, 'period::-4:cohort::5', 'period::-3:cohort::5' and 5 others,
are collinear with the fixed effects. Without doubt, your m",o3,o3
s04,DID,0.2,positive,1,1,1,0.1058,0.471,1,,Opus,claude-opus-4-6
