paper_id,method,difficulty,model,gt_direction,S1_latter_half_pred,S1_latter_half_match,S2_section6_pred,S2_section6_match,S3_llm_judge_pred,S3_llm_judge_match,S4_structured_pred,S4_structured_match
paper_01,DID,easy,Kimi,negative,,0,,0,negative,1,negative,1
paper_01,DID,easy,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_01,DID,easy,GPT-4o,negative,,0,,0,negative,1,negative,1
paper_01,DID,easy,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_01,DID,easy,Opus,negative,negative,1,positive,0,negative,1,negative,1
paper_01,DID,easy,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_02,DID,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_02,DID,medium,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_02,DID,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_02,DID,medium,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_02,DID,medium,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_02,DID,medium,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_03,DID,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_03,DID,hard,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_03,DID,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_03,DID,hard,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_03,DID,hard,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_03,DID,hard,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_04,EVENT_STUDY,easy,Kimi,negative,negative,1,negative,1,negative,1,mixed,0
paper_04,EVENT_STUDY,easy,Sonnet,negative,positive,0,positive,0,negative,1,unstated,0
paper_04,EVENT_STUDY,easy,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_04,EVENT_STUDY,easy,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_04,EVENT_STUDY,easy,Opus,negative,negative,1,positive,0,negative,1,unstated,0
paper_04,EVENT_STUDY,easy,Gemini,negative,positive,0,positive,0,negative,1,unstated,0
paper_05,EVENT_STUDY,medium,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_05,EVENT_STUDY,medium,Sonnet,negative,negative,1,negative,1,negative,1,negative,1
paper_05,EVENT_STUDY,medium,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_05,EVENT_STUDY,medium,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_05,EVENT_STUDY,medium,Opus,negative,positive,0,negative,1,negative,1,negative,1
paper_05,EVENT_STUDY,medium,Gemini,negative,negative,1,negative,1,negative,1,negative,1
paper_06,EVENT_STUDY,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_06,EVENT_STUDY,hard,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_06,EVENT_STUDY,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_06,EVENT_STUDY,hard,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_06,EVENT_STUDY,hard,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_06,EVENT_STUDY,hard,Gemini,positive,positive,1,,0,positive,1,unstated,0
paper_07,IV,medium,Kimi,positive,negative,0,negative,0,positive,1,negative,0
paper_07,IV,medium,Sonnet,positive,positive,1,negative,0,negative,0,negative,0
paper_07,IV,medium,GPT-4o,positive,negative,0,negative,0,positive,1,negative,0
paper_07,IV,medium,o3,positive,negative,0,negative,0,positive,1,unstated,0
paper_07,IV,medium,Opus,positive,negative,0,negative,0,negative,0,unstated,0
paper_07,IV,medium,Gemini,positive,negative,0,positive,1,negative,0,unstated,0
paper_08,IV,hard,Kimi,negative,positive,0,positive,0,positive,0,positive,0
paper_08,IV,hard,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_08,IV,hard,GPT-4o,negative,positive,0,positive,0,positive,0,positive,0
paper_08,IV,hard,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_08,IV,hard,Opus,negative,positive,0,positive,0,positive,0,unstated,0
paper_08,IV,hard,Gemini,negative,positive,0,positive,0,negative,1,negative,1
paper_09,RDD,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_09,RDD,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_09,RDD,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_09,RDD,easy,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_09,RDD,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_09,RDD,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_10,RDD,medium,Kimi,negative,positive,0,positive,0,mixed,0,mixed,0
paper_10,RDD,medium,Sonnet,negative,positive,0,positive,0,positive,0,unstated,0
paper_10,RDD,medium,GPT-4o,negative,positive,0,positive,0,positive,0,positive,0
paper_10,RDD,medium,o3,negative,positive,0,negative,1,positive,0,positive,0
paper_10,RDD,medium,Opus,negative,positive,0,positive,0,positive,0,unstated,0
paper_10,RDD,medium,Gemini,negative,negative,1,negative,1,positive,0,unstated,0
paper_11,EVENT_STUDY,hard,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_11,EVENT_STUDY,hard,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_11,EVENT_STUDY,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_11,EVENT_STUDY,hard,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_11,EVENT_STUDY,hard,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_11,EVENT_STUDY,hard,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_12,EVENT_STUDY,hard,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_12,EVENT_STUDY,hard,Sonnet,negative,positive,0,negative,1,negative,1,unstated,0
paper_12,EVENT_STUDY,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_12,EVENT_STUDY,hard,o3,negative,positive,0,positive,0,negative,1,unstated,0
paper_12,EVENT_STUDY,hard,Opus,negative,positive,0,positive,0,negative,1,unstated,0
paper_12,EVENT_STUDY,hard,Gemini,negative,positive,0,negative,1,negative,1,unstated,0
paper_13,EVENT_STUDY,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_13,EVENT_STUDY,hard,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_13,EVENT_STUDY,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_13,EVENT_STUDY,hard,o3,positive,negative,0,negative,0,positive,1,unstated,0
paper_13,EVENT_STUDY,hard,Opus,positive,negative,0,positive,1,positive,1,positive,1
paper_13,EVENT_STUDY,hard,Gemini,positive,negative,0,positive,1,positive,1,unstated,0
paper_14,DID,easy,Kimi,positive,negative,0,negative,0,negative,0,negative,0
paper_14,DID,easy,Sonnet,positive,positive,1,negative,0,negative,0,negative,0
paper_14,DID,easy,GPT-4o,positive,positive,1,positive,1,negative,0,negative,0
paper_14,DID,easy,o3,positive,negative,0,negative,0,negative,0,negative,0
paper_14,DID,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_14,DID,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_15,DID,medium,Kimi,positive,positive,1,negative,0,negative,0,negative,0
paper_15,DID,medium,Sonnet,positive,negative,0,negative,0,negative,0,unstated,0
paper_15,DID,medium,GPT-4o,positive,positive,1,positive,1,mixed,0,mixed,0
paper_15,DID,medium,o3,positive,negative,0,negative,0,,0,unstated,0
paper_15,DID,medium,Opus,positive,positive,1,negative,0,mixed,0,negative,0
paper_15,DID,medium,Gemini,positive,positive,1,negative,0,negative,0,unstated,0
paper_16,DID,hard,Kimi,negative,positive,0,negative,1,negative,1,negative,1
paper_16,DID,hard,Sonnet,negative,positive,0,positive,0,negative,1,negative,1
paper_16,DID,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_16,DID,hard,o3,negative,positive,0,positive,0,negative,1,unstated,0
paper_16,DID,hard,Opus,negative,positive,0,positive,0,negative,1,unstated,0
paper_16,DID,hard,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_17,IV,easy,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_17,IV,easy,Sonnet,negative,negative,1,positive,0,negative,1,unstated,0
paper_17,IV,easy,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_17,IV,easy,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_17,IV,easy,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_17,IV,easy,Gemini,negative,negative,1,positive,0,negative,1,unstated,0
paper_18,IV,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_18,IV,hard,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_18,IV,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_18,IV,hard,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_18,IV,hard,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_18,IV,hard,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_19,RDD,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_19,RDD,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_19,RDD,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
