label_row_id,paper_id,annotator_id,session_date,method_family,direction,supporting_sentence_method,supporting_sentence_direction,confidence_method,confidence_direction,time_spent_minutes,is_blind_relabel,original_label_row_id,notes
1,paper_05,YH,2026-04-24,EVENT_STUDY,negative,Our application works well because we estimate abnormal returns for well-defined announcements on specific and well-defined dates,"On average, firms lose 38% of their market values when news of their misconduct is reported.",high,high,32,False,-1,M1 edge case: primary measurement is event-study CAR; downstream decomposition of loss into fines / legal / reputation residual is a separate methodological contribution (see main results table). Labeled EVENT_STUDY because ES is the identification layer that produces headline CAR numbers.
2,paper_08,YH,2026-04-24,OTHER,negative,"Equation (1) is estimated using ordinary least squares (OLS), with errors clustered by quarter since this is the dimension on which the variables of interest vary.",firms appear to substitute bonds for bank loans at times when lending standards are tight.,high,high,59,False,-1,
3,paper_10,YH,2026-04-24,DID,negative,Using a difference-in-differences approach that relies on the exogenous variation in liquidity generated by regulatory changes,we find that an increase in liquidity causes a reduction in future innovation.,high,high,7,False,-1,
4,paper_64,YH,2026-05-01,EVENT_STUDY,negative,Figure 3 plots daily abnormal returns for trading days –22 through +22 relative to the day a brokerage firm closure was announced.,"On announcement, prices fall and continue falling over the following week, after which there is little evidence of a reversal.",high,high,16,False,-1,"Considered DID boundary, but main evidence is abnormal-return event window around brokerage closure announcement, so labeled EVENT_STUDY."
5,paper_66,YH,2026-05-01,OTHER,positive,We begin by using ordinary least squares (OLS) with clustering at the country level.,bank risk taking varies positively with the comparative power of shareholders within the corporate governance structure of each bank.,high,high,13,False,-1,"Labeled OTHER because main specification is OLS with clustered errors, not DID/Event Study/IV/RDD."
6,paper_68,YH,2026-05-01,OTHER,positive,We first estimate a pooled ordinary least squares (OLS) regression using our firm-year panel.,We find that firm-level governance is positively associated with international institutional investment.,high,high,25,False,-1,"Labeled OTHER because main specification is pooled OLS on firm-year panel; result is positive association, not DID/Event Study/IV/RDD. Timer anomaly corrected to 25 minutes."
7,paper_78,YH,2026-05-01,DID,positive,We then recover the treatment effect by performing traditional event studies for these two experimental groups and combining them into a straightforward dynamic difference-in-differences estimator.,Spouses and adult children immediately improve their health behaviors and their responses are both significant and persistent.,high,high,31,False,-1,"Dynamic event-study implementation, but paper explicitly combines two experimental groups into a dynamic DID estimator; labeled DID."
8,paper_90,YH,2026-05-01,OTHER,negative,Table 2 examines this pattern via regression analysis,India’s height disadvantage increases sharply with birth order.,high,high,34,False,-1,Labeled OTHER because the main evidence is regression analysis of birth-order pattern rather than DID/Event Study/IV/RDD; direction negative because disadvantage increases.
9,paper_113,YH,2026-05-01,OTHER,positive,I identify the effect of Head Start using within-family differences in program participation.,I estimate that Head Start participants gain 0.23 standard deviations on a summary index of young adult outcomes.,high,high,30,False,-1,"Labeled OTHER because identification uses within-family/family fixed-effect regression, not DID/Event Study/IV/RDD; positive effect on young-adult outcome index. Timer adjusted to include full reading time."
10,paper_114,YH,2026-05-01,OTHER,mixed,"Specifically, we match students in the newly colleted College and Beyond (C&B) Data Set who were admitted to and rejected from a similar set of institutions, and estimate fixed effects models.",Students who attended more selective colleges do not earn more than other students who were accepted and rejected by comparable schools but attended less selective colleges.,high,high,27,False,-1,Labeled OTHER because identification uses matching plus fixed-effects models rather than DID/Event Study/IV/RDD; direction mixed/near-null because main earnings result is no premium.
11,paper_122,YH,2026-05-01,OTHER,negative,we use a combination of other Spanish regions to construct a “synthetic” control region [...] before the outset of Basque political terrorism,"We find that, after the outbreak of terrorism, per capita GDP in the Basque Country declined about 10 percentage points relative to a synthetic control region without terrorism.",high,high,40,False,-1,Labeled OTHER because synthetic control is outside DID/Event Study/IV/RDD; negative effect on Basque GDP after terrorism.
