paper_id,in_target30,human_method,llm_consensus_method,method_match,human_direction,llm_consensus_direction,direction_match,m_level,d_level,needs_human,human_conf_method,human_conf_direction,time_spent_minutes,notes
paper_05,1,EVENT_STUDY,EVENT_STUDY,1,negative,negative,1,all4_agree,3of4_agree,False,high,high,32,M1 edge case: primary measurement is event-study CAR; downstream decomposition of loss into fines / legal / reputation residual is a separate methodological contribution (see main results table). Labeled EVENT_STUDY because ES is the identification layer that produces headline CAR numbers.
paper_08,1,OTHER,OTHER,1,negative,negative,1,2of4_plurality,2of4_plurality,False,high,high,59,
paper_10,1,DID,DID,1,negative,,0,2of4_plurality,split,True,high,high,7,
paper_64,1,EVENT_STUDY,DID,0,negative,,0,2of4_plurality,split,True,high,high,16,"Considered DID boundary, but main evidence is abnormal-return event window around brokerage closure announcement, so labeled EVENT_STUDY."
paper_66,1,OTHER,OTHER,1,positive,unclear,0,3of4_agree,2of4_plurality,False,high,high,13,"Labeled OTHER because main specification is OLS with clustered errors, not DID/Event Study/IV/RDD."
paper_68,1,OTHER,IV,0,positive,positive,1,2of4_plurality,2of4_plurality,False,high,high,25,"Labeled OTHER because main specification is pooled OLS on firm-year panel; result is positive association, not DID/Event Study/IV/RDD. Timer anomaly corrected to 25 minutes."
paper_78,1,DID,,0,positive,unclear,0,2of4_tie,2of4_plurality,True,high,high,31,"Dynamic event-study implementation, but paper explicitly combines two experimental groups into a dynamic DID estimator; labeled DID."
paper_90,1,OTHER,,0,negative,negative,1,split,2of4_plurality,True,high,high,34,Labeled OTHER because the main evidence is regression analysis of birth-order pattern rather than DID/Event Study/IV/RDD; direction negative because disadvantage increases.
paper_113,1,OTHER,OTHER,1,positive,unclear,0,3of4_agree,2of4_plurality,False,high,high,30,"Labeled OTHER because identification uses within-family/family fixed-effect regression, not DID/Event Study/IV/RDD; positive effect on young-adult outcome index. Timer adjusted to include full reading time."
paper_114,1,OTHER,IV,0,mixed,,0,2of4_plurality,split,True,high,high,27,Labeled OTHER because identification uses matching plus fixed-effects models rather than DID/Event Study/IV/RDD; direction mixed/near-null because main earnings result is no premium.
paper_122,1,OTHER,EVENT_STUDY,0,negative,negative,1,2of4_plurality,3of4_agree,False,high,high,40,Labeled OTHER because synthetic control is outside DID/Event Study/IV/RDD; negative effect on Basque GDP after terrorism.
paper_126,1,OTHER,RDD,0,negative,unclear,0,2of4_plurality,2of4_plurality,False,high,high,12,"Considered RDD boundary due to spatial discontinuities, but main design uses price variation across electricity service areas and nonlinear pricing, not a cutoff-based local RD estimate; labeled OTHER."
paper_138,1,OTHER,DID,0,positive,unclear,0,2of4_plurality,2of4_plurality,False,high,high,26,"Labeled OTHER because the main design estimates weather/climate-profit regressions and projections, not DID/Event Study/IV/RDD; direction positive because preferred estimates increase annual profits."
paper_142,1,IV,,0,positive,,0,split,split,True,high,high,32,Labeled IV because the paper explicitly instruments crop yield with rainfall shocks; direction positive because higher productivity raises wages.
paper_153,1,OTHER,OTHER,1,negative,,0,2of4_plurality,split,True,high,high,34,"Labeled OTHER because the main design is a randomized field experiment, outside DID/Event Study/IV/RDD; direction negative because audits reduce missing expenditures/corruption."
paper_160,1,IV,IV,1,mixed,positive,0,2of4_plurality,2of4_plurality,False,high,high,36,Labeled IV because the model is estimated by 2SLS with an instrument for parental education; direction mixed because 2SLS estimates are lower than OLS and only one relationship is significantly positive.
paper_183,1,OTHER,OTHER,1,positive,,0,2of4_plurality,split,True,high,high,34,"Labeled OTHER because this is an equilibrium/assignment model of CEO pay, not DID/Event Study/IV/RDD; direction positive because CEO pay increases with firm size."
paper_194,1,OTHER,OTHER,1,negative,unclear,0,3of4_agree,2of4_plurality,False,high,high,44,"Labeled OTHER because the main design uses weighted generalized least squares regressions, not DID/Event Study/IV/RDD; direction negative because higher spending is associated with lower quality."
paper_206,1,OTHER,OTHER,1,positive,,0,2of4_plurality,split,True,high,high,44,"Labeled OTHER because the main design uses regime-switching multiplier models, not DID/Event Study/IV/RDD; direction positive because preferred spending multipliers are positive, especially in recessions."
paper_223,1,IV,IV,1,positive,,0,2of4_plurality,split,True,high,high,37,Labeled IV because the paper explicitly exploits three instrumental variables for roads; direction positive because VKT increases proportionately with highways.
